,tweet,followers,labels,tokens
0," Kid at heart, Yes☺️",145,1,"['kid', 'heart', 'yes']"
1, im trolling bro i dont care what so ever cool gp bro 😎,394,1,"['im', 'trolling', 'bro', 'dont', 'care', 'so', 'ever', 'cool', 'gp', 'bro']"
2,"Veintiocho. 
Hagan stream y Shazam.
I vote for #HoneyBoo by Kyle Hanagami for #FaveChoreography at #iHeartAwards",133,1,"['veintiocho', 'hagan', 'stream', 'y', 'shazam', 'vote', 'honeyboo', 'kyle', 'hanagami', 'favechoreography', 'iheartawards']"
3, No problem,160,1,"['no', 'problem']"
4,  if having 6 drops is your reasoning for why he isn’t top 10... then he is top 10,448,1,"['6', 'drop', 'reasoning', 'why', 'isn', 't', 'top', '10', 'then', 'top', '10']"
5, But you’ll always love this wanga gut,1437,1,"['ll', 'always', 'love', 'wanga', 'gut']"
6,  Oh no. Rainbow are not jimmies.,919,1,"['oh', 'no', 'rainbow', 'not', 'jimmy']"
7,"  It's a rather small tub, but sure.",3157,1,"['s', 'rather', 'small', 'tub', 'sure']"
8,   Getting yourself a workout tonight,757,1,"['getting', 'workout', 'tonight']"
9, With Karl?,0,0,"['with', 'karl']"
10, YEAHHH,634,1,['yeahhh']
11, I love blue raspberry and cherry,434,1,"['love', 'blue', 'raspberry', 'cherry']"
12,   Also what you belive is NOT a fact . The fact is that it is still happeni… https://t.co/6pBnGCroUS,674,1,"['also', 'belive', 'not', 'fact', 'fact', 'still', 'happeni', 'http', 'tco6pbngcrous']"
13," I it wrong to be all cash. Fomo keeps messing with my head, at the same time to buy in feels so wrong",0,0,"['wrong', 'to', 'all', 'cash', 'fomo', 'keep', 'messing', 'with', 'head', 'same', 'time', 'to', 'buy', 'in', 'feel', 'so', 'wrong']"
14,"Hey, guys! I'll be streaming Genshin Impact in about 15 minutes. I hope that you guys check it out. https://t.co/i3LKk4edAj",189,1,"['hey', 'guy', 'll', 'streaming', 'genshin', 'impact', 'in', 'about', '15', 'minute', 'hope', 'guy', 'check', 'out', 'http', 'tcoi3lkk4edaj']"
15,So are they saying blame this lady https://t.co/fyCDY5xGyv,187,1,"['so', 'saying', 'blame', 'lady', 'http', 'tcofycdy5xgyv']"
16,"  Mexico 
I vote #BTSArmy for #BestFanArmy  at the #iHeartAwards  ",52,0,"['mexico', 'vote', 'btsarmy', 'bestfanarmy', 'iheartawards']"
17,my only problem is that i never wanna fail so i be slackin on what i need to do,377,1,"['only', 'problem', 'never', 'wan', 'na', 'fail', 'so', 'slackin', 'on', 'need', 'to']"
18, LETS GO,857,1,"['let', 'go']"
19,A Peek into a Black Man's Worldview https://t.co/YmuieU7jnt #ethnicity #race #perspective #empathy #God,2796,1,"['peek', 'into', 'black', 'man', 's', 'worldview', 'http', 'tcoymuieu7jnt', 'ethnicity', 'race', 'perspective', 'empathy', 'god']"
20,Pupdate https://t.co/R82E3yVxyw,1539,1,"['pupdate', 'http', 'tcor82e3yvxyw']"
21,#NowPlaying #TranceFamily #Trance Rodg - Crossroads https://t.co/Gd9nLgJhCD https://t.co/VEivBsGArJ,2982,1,"['nowplaying', 'trancefamily', 'trance', 'rodg', 'crossroad', 'http', 'tcogd9nlgjhcd', 'http', 'tcoveivbsgarj']"
22,we can’t always fix everything with sudden positivity. negativity needs to be released so that we would have space… https://t.co/ISbxJTerw5,38,0,"['can', 't', 'always', 'fix', 'everything', 'with', 'sudden', 'positivity', 'negativity', 'need', 'to', 'released', 'so', 'would', 'space', 'http', 'tcoisbxjterw5']"
23,"  Interesting and very funny 🤣🤣🤣🤣😂😂😂😂.
Thanks please you guys should be keeping us updated✌️✌️",0,0,"['interesting', 'very', 'funny', 'thanks', 'please', 'guy', 'should', 'keeping', 'u', 'updated']"
24,"xingxing going to work | 20210410

ctto

#YouthWithYou3 #青春有你3 #ywy3 #qcyn3 #duanxingxing #x https://t.co/aUFUMcge2Z",15,0,"['xingxing', 'going', 'to', 'work', '20210410', 'ctto', 'youthwithyou3', '青春有你3', 'ywy3', 'qcyn3', 'duanxingxing', 'x', 'http', 'tcoaufumcge2z']"
25,  done. thank u,38,0,"['done', 'thank', 'u']"
26, oo this is noice,27069,2,"['oo', 'noice']"
27, TIED,404,1,['tied']
28,He's vibing #TeamDancingFish,36,0,"['s', 'vibing', 'teamdancingfish']"
29,ELECTED CRPH #Apr10Coup #WhatsHappeningInMyanmar #IssueInterimConstitution https://t.co/fRk4pA3Kkf,904,1,"['elected', 'crph', 'apr10coup', 'whatshappeninginmyanmar', 'issueinterimconstitution', 'http', 'tcofrk4pa3kkf']"
30,I missed hugs so much man,868,1,"['missed', 'hug', 'so', 'much', 'man']"
